Destination;Country;HDI_Value_Latest;Life_Expectancy;GNI_per_capita_PPP;Inflation_Rate_National_Latest_Pct;Crime_Index;Safety_Index;Unemployment_Rate_National_Latest_Pct;English_EPI_Score;Cuisine_Rank;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Distance_from_Lodz_km_road;Overall_Daily_Cost_Budget_USD;Overall_Daily_Cost_MidRange_USD;Overall_Daily_Cost_Luxury_USD;Language;Number_of_ratings;CostofLivingIndex;RentIndex;CostofLivingPlusRentIndex;GroceriesIndex;RestaurantPriceIndex;LocalPurchasingPowerIndex;Latitude;Longitude;Popularity_TripAdvisor_Count
Lapland;Finland;0.942;82.0;51691.0;0.2;26.5;73.5;8.26;590;71;freezing;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;cool;cool;cold;freezing;2100.0;104;239;493;Finnish;14982;68.8;28.5;51.2;66.5;72.8;134.4;67.9229;26.5052;14982
Paris;France;0.91;82.4;49021.0;1.0;55.6;44.4;7.37;524;5;cold;cold;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cold;1400.0;113;301;854;French;831804;74.6;44.4;61.4;76.1;66.8;116.8;48.8566;2.3522;831804
Nouvelle-Aquitaine;France;0.91;82.4;49021.0;1.0;55.6;44.4;7.37;524;5;cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;cold;2000.0;78;177;340;French;83571;65.0;21.0;45.8;57.6;55.2;88.0;44.8378;-0.5792;83571
Corsica;France;0.91;82.4;49021.0;1.0;55.6;44.4;7.37;524;5;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;;94;226;496;French;49180;70.2;23.8;50.0;77.8;62.3;118.0;42.0396;9.0129;49180
Lyon;France;0.91;82.4;49021.0;1.0;55.6;44.4;7.37;524;5;cold;cold;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cold;1550.0;75;179;383;French;75957;70.2;23.8;50.0;77.8;62.3;118.0;45.764;4.8357;75957
French Alps;France;0.91;82.4;49021.0;1.0;55.6;44.4;7.37;524;5;freezing;freezing;very cold;cold;cool;cool;cool;cool;cool;cold;very cold;freezing;1500.0;98;237;539;French;32923;111.4;63.7;90.6;113.8;113.4;171.0;45.2833;6.4333;32923
Provence-Alpes-Côte d'Azur;France;0.91;82.4;49021.0;1.0;55.6;44.4;7.37;524;5;cold;cold;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cold;1900.0;87;220;570;French;113771;70.2;23.8;50.0;77.8;62.3;118.0;43.9356;6.0679;113771
Normandy;France;0.91;82.4;49021.0;1.0;55.6;44.4;7.37;524;5;cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1500.0;74;175;371;French;102262;74.6;44.4;61.4;76.1;66.8;116.8;49.4432;1.0993;102262
Brittany;France;0.91;82.4;49021.0;1.0;55.6;44.4;7.37;524;5;cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1700.0;55;136;347;French;57991;74.6;44.4;61.4;76.1;66.8;116.8;48.202;-2.9326;57991
Monaco;Monaco;0.96;87.0;;5.3;24.7;75.3;1.0;524;100;cold;cold;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cold;1650.0;123;283;564;French;29054;70.2;23.8;50.0;77.8;62.3;118.0;43.7384;7.4246;29054
Berlin;Germany;0.95;80.9;57983.0;2.0;39.6;60.4;3.406;598;12;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;500.0;76;201;557;German;304093;66.0;34.8;52.4;62.2;72.1;130.8;52.52;13.405;304093
Bavaria;Germany;0.95;80.9;57983.0;2.0;39.6;60.4;3.406;598;12;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;very cold;900.0;85;199;449;German;173053;72.3;44.3;60.1;61.0;72.6;127.5;48.7915;11.4955;173053
North Rhine-Westphalia;Germany;0.95;80.9;57983.0;2.0;39.6;60.4;3.406;598;12;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;900.0;124;273;579;German;76830;67.7;31.7;52.0;62.4;65.8;136.7;51.4332;7.6616;76830
Hamburg;Germany;0.95;80.9;57983.0;2.0;39.6;60.4;3.406;598;12;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;very cold;700.0;66;161;371;German;85300;69.9;32.1;53.4;62.7;74.1;123.2;53.5511;9.9937;85300
Saxony;Germany;0.95;80.9;57983.0;2.0;39.6;60.4;3.406;598;12;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;550.0;76;179;381;German;42751;63.3;20.4;44.6;61.4;62.5;148.3;51.1045;13.2017;42751
Baden-Württemberg;Germany;0.95;80.9;57983.0;2.0;39.6;60.4;3.406;598;12;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;1100.0;94;219;483;German;73055;67.0;31.0;51.3;62.8;64.3;139.8;48.7758;9.1829;73055
Athens;Greece;0.887;80.7;32605.0;2.8;46.4;53.6;10.133;602;3;cold;cool;comfortable;comfortable;warm;warm;hot;hot;warm;cool;cool;cold;2100.0;72;177;423;Greek;172211;53.7;16.8;37.6;51.4;56.0;62.6;37.9838;23.7275;172211
Santorini;Greece;0.887;80.7;32605.0;2.8;46.4;53.6;10.133;602;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;117;288;674;Greek;65597;53.7;16.8;37.6;51.4;56.0;62.6;36.3932;25.4615;65597
Crete;Greece;0.887;80.7;32605.0;2.8;46.4;53.6;10.133;602;3;cool;cool;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cool;;64;164;430;Greek;119239;53.7;16.8;37.6;51.4;56.0;62.6;35.2401;24.8093;119239
Mykonos;Greece;0.887;80.7;32605.0;2.8;46.4;53.6;10.133;602;3;cool;cool;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cool;;128;309;698;Greek;33206;53.7;16.8;37.6;51.4;56.0;62.6;37.4467;25.3289;33206
Rhodes;Greece;0.887;80.7;32605.0;2.8;46.4;53.6;10.133;602;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;85;193;369;Greek;87246;53.7;16.8;37.6;51.4;56.0;62.6;36.4349;28.2178;87246
Peloponnese;Greece;0.887;80.7;32605.0;2.8;46.4;53.6;10.133;602;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;2000.0;75;172;328;Greek;26978;53.7;16.8;37.6;51.4;56.0;62.6;37.5641;22.1125;26978
Thessaly;Greece;0.887;80.7;32605.0;2.8;46.4;53.6;10.133;602;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;1700.0;80;187;388;Greek;15113;50.7;13.2;34.4;48.0;40.3;67.5;39.6109;22.4206;15113
Thessaloniki;Greece;0.887;80.7;32605.0;2.8;46.4;53.6;10.133;602;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;1600.0;82;187;358;Greek;22386;50.7;13.2;34.4;48.0;40.3;67.5;40.6401;22.9444;22386
Budapest;Hungary;0.851;74.5;34449.0;4.6;33.7;66.3;4.434;585;20;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;600.0;42;111;306;Hungarian;304092;45.1;21.8;35.0;38.7;45.4;107.2;47.4979;19.0402;304092
Iceland;Iceland;0.959;83.4;57092.0;4.2;25.8;74.2;3.107;603;95;very cold;very cold;cold;cold;cool;cool;cool;cool;cold;cold;very cold;very cold;;109;252;585;Icelandish;142634;96.2;50.5;76.3;102.1;106.5;113.1;64.9631;-19.0208;142634
Dublin;Ireland;0.95;82.8;83398.0;1.8;48.6;51.4;4.369;650;48;cold;cold;cool;cool;cool;comfortable;comfortable;comfortable;cool;cool;cold;cold;;79;206;563;English;264639;72.2;57.7;65.9;67.6;78.4;117.9;53.3498;-6.2603;264639
Munster;Ireland;0.95;82.8;83398.0;1.8;48.6;51.4;4.369;650;48;cold;cold;cool;cool;cool;comfortable;comfortable;comfortable;cool;cool;cold;cold;;77;192;474;English;106637;71.0;44.7;59.5;71.7;71.2;113.0;52.2705;-8.4686;106637
Rome;Italy;0.89;83.1;43767.0;1.7;47.2;52.8;6.778;528;1;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1450.0;91;238;645;Italian;598037;56.7;31.6;45.8;57.6;55.2;88.0;41.9028;12.4964;598037
Tuscany;Italy;0.89;83.1;43767.0;1.7;47.2;52.8;6.778;528;1;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1300.0;87;207;501;Italian;343046;62.6;28.6;47.8;61.7;67.7;85.0;43.7711;11.2486;343046
Venice;Italy;0.89;83.1;43767.0;1.7;47.2;52.8;6.778;528;1;cold;cold;cool;cool;comfortable;warm;warm;warm;comfortable;cool;cool;cold;1100.0;124;318;828;Italian;224754;61.9;21.4;35.9;47.3;42.9;67.8;45.4408;12.3155;224754
Lombardy;Italy;0.89;83.1;43767.0;1.7;47.2;52.8;6.778;528;1;cool;cool;cool;comfortable;warm;warm;hot;warm;warm;comfortable;cool;cool;1150.0;95;224;533;Italian;225290;68.2;39.7;55.8;68.6;68.5;83.8;45.4642;9.19;225290
Campania;Italy;0.89;83.1;43767.0;1.7;47.2;52.8;6.778;528;1;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;1700.0;76;182;425;Italian;111886;56.3;23.2;46.6;70.1;64.1;85.9;40.8518;14.2681;111886
Sicily;Italy;0.89;83.1;43767.0;1.7;47.2;52.8;6.778;528;1;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;59;140;295;Italian;136035;47.9;12.6;32.5;45.4;53.3;121.4;37.5999;14.0154;136035
Dolomites and Italian Alps;Italy;0.89;83.1;43767.0;1.7;47.2;52.8;6.778;528;1;cold;cold;cool;cool;comfortable;warm;warm;warm;comfortable;cool;cool;cold;1050.0;83;184;345;Italian;55497;68.2;39.7;55.8;68.6;68.5;83.8;46.4045;11.9123;55497
Sardinia;Italy;0.89;83.1;43767.0;1.7;47.2;52.8;6.778;528;1;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;73;167;319;Italian;53516;57.8;19.8;42.8;64.5;59.5;96.1;40.1209;9.0129;53516
Riga;Latvia;0.863;73.4;33391.0;3.8;36.6;63.4;6.72;578;100;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;800.0;55;138;347;Latvian;43719;51.4;13.6;25.9;31.9;30.0;54.3;56.9496;24.1052;43719
Liechtenstein;Liechtenstein;0.942;84.5;;0.1;25.2;74.8;1.6;575;100;very cold;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1050.0;149;333;631;German;3891;112.5;68.1;93.2;113.9;110.4;167.3;47.166;9.5554;3891
Lithuania;Lithuania;0.879;74.2;41234.0;3.7;33.0;67.0;7.504;569;89;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;600.0;54;133;307;Lithuanian;38877;49.8;19.7;36.7;44.0;42.6;69.5;55.1694;23.8813;38877
Luxembourg;Luxembourg;0.927;83.0;83731.0;2.19;34.0;66.0;5.935;576;90;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;very cold;1050.0;117;271;540;Luxembourgish;19441;74.2;52.4;64.7;73.0;79.9;157.3;49.8153;6.1296;19441
Malta;Malta;0.915;83.8;47605.0;2.5;43.0;57.0;2.703;636;100;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;69;159;314;English;111660;60.2;34.2;48.9;59.6;66.4;105.9;35.9375;14.3754;111660
