Destination;Country;Cost_of_Living_Index;Rent_Index;Cost_of_Living_Plus_Rent_Index;Groceries_Index;Restaurant_Price_Index;Local_Purchasing_Power_Index;HDI_Value_Latest;Life_Expectancy;GNI_per_capita_PPP;Inflation_Rate_National_Latest_Pct;Crime_Index;Safety_Index;Unemployment_Rate_National_Latest_Pct;English_level;Cuisine_Rank;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Distance_from_Lodz_km_road;Overall_Daily_Cost_Budget_USD;Overall_Daily_Cost_MidRange_USD;Overall_Daily_Cost_Luxury_USD;Language;Number_of_ratings;CostofLivingIndex;RentIndex;CostofLivingPlusRentIndex;GroceriesIndex;RestaurantPriceIndex;LocalPurchasingPowerIndex;Popularity_TripAdvisor_Count
Bosnia and Herzegovina;Bosnia and Herzegovina;35.7;7.3;23.4;36.7;28.2;67.3;0.845;75.636;32174.93003;1.3;41.2;58.8;10.723;Unknown;44;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;cold;1250.0;40;100;246;Bosnian;27219;39.2;15.3;25.9;34.6;32.3;64.6;27219
Bulgaria;Bulgaria;39.3;11.7;27.3;40.5;38.7;86.3;0.889;78.58;41379.89027;2.2;35.9;64.1;4.104;High;24;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;1400.0;35;87;207;Bulgarian;51698;42.8;15.2;30.8;36.7;41.0;100.3;51698
Dalmatian Coast;Croatia;48.6;17.3;35.0;45.2;50.2;95.6;0.915;79.834;45889.01401;3.1;25.4;74.6;5.236;Very High;21;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1150.0;53;130;307;Croatian;118651;53.8;23.6;40.6;48.8;58.4;70.8;118651
Istria;Croatia;48.6;17.3;35.0;45.2;50.2;95.6;0.915;79.834;45889.01401;3.1;25.4;74.6;5.236;Very High;21;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;900.0;53;130;307;Croatian;32371;58.1;18.8;41.0;61.6;56.3;91.9;32371
Zagreb;Croatia;48.6;17.3;35.0;45.2;50.2;95.6;0.915;79.834;45889.01401;3.1;25.4;74.6;5.236;Very High;21;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;850.0;41;101;218;Croatian;26448;48.5;20.1;36.1;46.5;47.6;104.6;26448
Copenhagen;Denmark;74.1;28.8;54.3;67.6;85.1;148.6;0.905;79.153;40880.93044;1.8;26.0;74.0;5.587;Very High;62;very cold;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;850.0;113;278;713;Danish;150926;81.3;47.0;66.4;72.9;93.5;142.2;150926
Jutland;Denmark;74.1;28.8;54.3;67.6;85.1;148.6;0.905;79.153;40880.93044;1.8;26.0;74.0;5.587;Very High;62;very cold;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1100.0;105;249;583;Danish;32135;73.2;31.4;50.0;63.0;65.0;124.3;32135
Tallinn;Estonia;55.9;16.1;38.5;51.2;57.8;89.6;0.948;81.91;57067.63693;3.0;23.5;76.5;7.828;High;80;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1100.0;53;138;372;Estonian;51134;60.5;19.8;42.8;64.5;59.5;96.1;51134
Helsinki;Finland;64.5;21.1;45.6;64.9;67.0;139.5;0.92;83.325;55060.16038;0.8;26.5;73.5;8.26;High;71;freezing;freezing;very cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1150.0;77;187;429;Finnish;63515;68.8;28.5;51.2;66.5;72.8;134.4;63515
Lapland;Finland;64.5;21.1;45.6;64.9;67.0;139.5;0.92;83.325;55060.16038;0.8;26.5;73.5;8.26;High;71;freezing;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;cool;cool;cold;freezing;2100.0;104;239;493;Finnish;14982;68.8;28.5;51.2;66.5;72.8;134.4;14982
Paris;France;64.4;22.0;46.0;70.1;60.0;119.8;0.959;81.378;64053.22124;2.5;55.6;44.4;7.37;Moderate;5;cold;cold;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cold;1400.0;113;301;854;French;831804;74.6;44.4;61.4;76.1;66.8;116.8;831804
Nouvelle-Aquitaine;France;64.4;22.0;46.0;70.1;60.0;119.8;0.959;81.378;64053.22124;2.5;55.6;44.4;7.37;Moderate;5;cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;cold;2000.0;78;177;340;French;83571;65.0;21.0;45.8;57.6;55.2;88.0;83571
Corsica;France;64.4;22.0;46.0;70.1;60.0;119.8;0.959;81.378;64053.22124;2.5;55.6;44.4;7.37;Moderate;5;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;;94;226;496;French;49180;70.2;23.8;50.0;63.0;65.0;124.3;49180
